,PROFILE,X,Y,LONG,LAT,Z,S
953,AP,-6055.915018066436,-3273.8252491525955,-54.401210200580266,-28.35745281418911,-32.25420986092274,3.0
952,AP,-6113.21203152005,-3229.9854035076996,-54.915918029778105,-28.008505800789123,-33.329857881993576,3.0
926,AO,-6060.08002696935,-3207.5751792243823,-54.43862511214009,-27.82968649485478,-29.247110880114747,3.0
889,AN,-5982.081889337331,-3204.220077775659,-53.73795592046308,-27.802889228736188,-28.171462473838602,3.0
951,AP,-6155.077114621169,-3197.9530396821456,-55.29199846998479,-27.752816374637195,-41.816165206218955,3.0
950,AP,-6190.229421009931,-3171.0568439948606,-55.60777701099556,-27.537655128732414,-63.37960522199154,3.0
925,AO,-6109.1171633313925,-3170.0392901967207,-54.87913320297484,-27.529506624764117,-31.827997474904976,3.0
888,AN,-6029.625210336612,-3167.788802986455,-54.16504483957763,-27.511482703182974,-29.247111322622374,3.0
844,AM,-5964.626051279787,-3152.908970518596,-53.58114745922101,-27.392236603994384,-27.111108846234686,3.0
949,AP,-6220.221888327666,-3148.1086123425493,-55.877203928995336,-27.353739042413103,-83.16109298381991,3.0
924,AO,-6153.6540944232365,-3135.9481211946477,-55.279215262050656,-27.256154712128325,-39.140176469594394,3.0
887,AN,-6078.64301966642,-3130.227664140348,-54.605379312727855,-27.210219777411105,-31.827998115965443,3.0
739,AK,-5842.258940818694,-3122.795355855667,-52.48190500321359,-27.15051018726694,-47.03403095846721,3.0
843,AM,-6005.10492788739,-3121.9173306159,-53.94477539462698,-27.14345418643059,-30.090865574991483,3.0
669,AJ,-5784.097194050934,-3113.1915622308147,-51.95942914248791,-27.073307564617892,-32.28175373876962,3.0
590,AI,-5709.351970029153,-3107.7130913571605,-51.287981370950874,-27.029243340909773,-46.083531509866305,3.0
738,AK,-5862.34287099954,-3107.411919972467,-52.66232201768002,-27.026820463903828,-28.572959476522215,3.0
794,AL,-5943.387558342323,-3107.0374356927823,-53.39035883104713,-27.023807722372254,-35.89677106696189,3.0
108,AB,-6208.469194692249,-3105.840675679919,-55.77162768577264,-27.014179191071833,-193.208891079055,3.0
923,AO,-6193.61743444694,-3105.3578459952673,-55.63821205352824,-27.010294349333805,-52.66216451345662,3.0
922,AO,-6197.027976515239,-3102.7472178449066,-55.66884947419909,-26.989286916962975,-192.55343885729027,3.0
589,AI,-5722.449099065632,-3097.666176698934,-51.40563488286643,-26.94838898074296,-34.20630064189305,3.0
109,AB,-6175.886556168563,-3094.000377573544,-55.478932863944955,-26.91887318578066,-152.23253901450514,3.0
110,AB,-6175.679905615221,-3093.925282238535,-55.47707649043957,-26.918268461529667,-83.25242095596036,3.0
886,AN,-6126.940163063531,-3093.2187538317826,-55.03923993365723,-26.912578801798965,-43.24616841880737,3.0
842,AM,-6044.758888356967,-3091.5572671313807,-54.30099298228391,-26.899197738949248,-36.468648805121006,3.0
921,AO,-6212.139746088031,-3091.1797865514473,-55.804600809972406,-26.896157412136667,-219.19654795386322,3.0
668,AJ,-5813.885060392306,-3090.367853246267,-52.227018098645544,-26.889617609759778,-22.60122367470717,3.0
53,AA,-6312.80413096205,-3089.9904326583223,-56.708884364960625,-26.886577505597106,-285.36627823450397,3.0
54,AA,-6300.741379634039,-3085.5951418879545,-56.60052282609577,-26.851167570849768,-242.92933148860783,3.0
111,AB,-6152.03777596318,-3085.3339011953376,-55.264695626283924,-26.849062575571782,-51.571162663496466,3.0
55,AA,-6282.2530808723,-3078.858581819891,-56.43443961254539,-26.796873850454052,-232.63451930411492,3.0
