,PROFILE,X,Y,LONG,LAT,Z,S
2295,AX,-6015.029271682234,-3813.168104704756,-54.03392729178464,-32.5532763506487,-52.856450875864994,4.0
2305,AY,-6100.096948798896,-3813.038331318654,-54.79810323716906,-32.55228901909384,-53.136606961407495,4.0
1159,AW,-5934.723610139921,-3811.548648244931,-53.31252926013675,-32.54095454552569,-52.724893377685135,4.0
2294,AX,-6022.023296031913,-3807.8257304201616,-54.096755681492844,-32.51262186016623,-43.933106317816794,4.0
2304,AY,-6115.997102572357,-3800.9040034389072,-54.94093674871456,-32.45992117015757,-41.64753909730723,4.0
1158,AW,-5953.141995918505,-3797.4817087349866,-53.477984434673864,-32.43385297188265,-39.636774724181805,4.0
2303,AY,-6129.671096331313,-3790.4685871491783,-55.06377232460081,-32.380409061679394,-41.12507743821067,4.0
2293,AX,-6055.471512517312,-3782.2763638919564,-54.39722612244657,-32.317939300151984,-32.44403886724956,4.0
1141,AV,-5892.969077368312,-3779.9664275684836,-52.937441910436696,-32.30031702161616,-31.06683509006075,4.0
1157,AW,-5982.504037809967,-3775.056612847601,-53.741748144714435,-32.26284903315179,-31.992753812672902,4.0
2302,AY,-6154.014537730524,-3771.890697660306,-55.28245317937061,-32.23868088057629,-53.10273220164572,4.0
1140,AV,-5937.708428798166,-3745.7894862569765,-53.33934234234702,-32.039180701057234,-29.444748400578646,4.0
1156,AW,-6025.104341383666,-3742.520868364864,-54.1244331827983,-32.014166553015954,-29.885392191042627,4.0
1125,AU,-5863.109816930561,-3740.8791430639294,-52.66921161019932,-32.00160012130779,-31.06683351738036,4.0
2292,AX,-6121.069633273353,-3732.1693445389446,-54.98650406729327,-31.934902708476628,-31.001227345858638,4.0
1139,AV,-5984.354891695031,-3710.1556790187306,-53.7583746480507,-31.76610983419395,-29.885391910908538,4.0
2291,AX,-6153.45025860836,-3707.4354557990855,-55.27738417377112,-31.7452305002709,-50.34168196561768,4.0
1124,AU,-5907.823907334648,-3706.6691329473238,-53.07088511845426,-31.73934765740751,-29.44474701674983,4.0
1155,AW,-6077.488494121513,-3702.5127635992576,-54.595008033298896,-31.707433819160048,-31.001227275750523,4.0
1096,AT,-5833.28279218476,-3698.096131955514,-52.40127088810967,-31.67350945386294,-33.3744584131353,4.0
1138,AV,-6033.697595451851,-3672.462180196067,-54.20162769749603,-31.476366875124775,-29.72722348356774,4.0
1123,AU,-5954.444031914246,-3671.000847646373,-53.489680823028344,-31.46511555580519,-29.885392191042627,4.0
