,PROFILE,X,Y,LONG,LAT,Z,S
1084,AT,-6294.869793075541,-3344.4896376998527,-56.547777466620474,-28.91747669553038,-512.2318933544915,1.0
1054,AS,-6213.604810648443,-3342.9250456903096,-55.81776170884081,-28.90510987006182,-516.4592418117677,1.0
1111,AU,-6383.570246604196,-3342.683486984999,-57.344587197751714,-28.90320041253269,-490.2240214741771,1.0
2283,AX,-6651.939179708147,-3326.6654927432714,-59.75538634165301,-28.776503270657926,-480.9353394178379,1.0
1144,AW,-6578.68287158057,-3319.7283505027417,-59.09731372916128,-28.721584398080978,-482.08090971462616,1.0
1083,AT,-6337.766536064829,-3311.6278654355647,-56.933125465282714,-28.657418855791796,-512.2318933544915,1.0
1127,AV,-6509.337737994782,-3309.114820041012,-58.47437579536706,-28.63750445512481,-480.445592791418,1.0
1053,AS,-6264.081429880666,-3304.2994587995645,-56.27120089431069,-28.599334891273852,-512.2318933015872,1.0
1110,AU,-6438.25469514299,-3300.845320965588,-57.83582595701218,-28.571946604215846,-481.726331193375,1.0
1018,AR,-6190.638242126398,-3298.272640848963,-55.6114495135695,-28.551542822564446,-509.5398345459861,1.0
1082,AT,-6368.108133992363,-3288.384173449948,-57.20568867691184,-28.4730807677032,-514.2088670603991,1.0
1143,AW,-6621.60192467865,-3286.9491628468527,-59.48286214294071,-28.46168948609156,-483.39810068042226,1.0
1052,AS,-6301.762314110885,-3275.4653908668756,-56.60969403654212,-28.370485303322557,-527.0591951091446,1.0
1126,AV,-6554.154362503264,-3274.878848873487,-58.87697038315321,-28.36582485389491,-500.1907795778484,1.0
1017,AR,-6237.189768965352,-3262.6506029200236,-56.02962899415483,-28.268616590197926,-535.955576403175,1.0
1109,AU,-6491.68375216281,-3259.9676342084467,-58.315787342382166,-28.24727636419676,-516.5734798944269,1.0
1142,AW,-6658.228054879694,-3258.976159988997,-59.811880268518216,-28.23938912565564,-483.7933931473532,1.0
1081,AT,-6413.246621326627,-3253.8050751835967,-57.611174607655904,-28.198243278706578,-526.4253607619024,1.0
1051,AS,-6334.733087968301,-3250.2355813064178,-56.90587553739578,-28.169831800738134,-538.9210366599386,1.0
709,AK,-5700.11364658552,-3231.6726025023536,-51.20499209946033,-28.02195646784197,-145.16774095637913,1.0
1108,AU,-6532.8884148620455,-3228.442629113782,-58.68593512517928,-27.996205028139837,-526.1576994103348,1.0
1080,AT,-6455.399399862236,-3221.513229415957,-57.98983945992234,-27.940938389065465,-529.6561223346392,1.0
1050,AS,-6373.348271793334,-3220.6865710750885,-57.252761635686895,-27.934343321700226,-564.3173544664012,1.0
