,PROFILE,X,Y,LONG,LAT,Z,S
1755,P,-5872.031015596027,-2370.784825511438,-52.74935210133786,-20.951166624595622,-196.16438006625683,2.0
1756,P,-5822.848578609642,-2352.75014162678,-52.30753875278672,-20.79890196490134,-187.47961663578343,2.0
1757,P,-5773.699313960883,-2334.7276216904634,-51.86602339641456,-20.646584500558312,-178.44065166883428,2.0
1758,P,-5739.868148738568,-2322.3220881785114,-51.56211286842678,-20.54164919385926,-178.4316517159264,2.0
1719,O,-5871.282467457748,-2317.362384892694,-52.74262777900272,-20.49967588473913,-176.0088386327018,2.0
1759,P,-5699.612240715671,-2307.560668855516,-51.200487893895996,-20.416691067700338,-180.34242068096444,2.0
1720,O,-5819.880857413222,-2298.516542729383,-52.28087925968922,-20.340080098600055,-176.96932155635884,2.0
1760,P,-5660.17345002978,-2293.0988778911897,-50.84620320929273,-20.294169733894464,-223.10525814135025,2.0
1721,O,-5780.565581486001,-2284.1020237271655,-51.92770412704123,-20.217898205477795,-174.88385132822063,2.0
1722,O,-5762.025119249347,-2277.3043645751636,-51.76115232102296,-20.160245412566763,-165.7018358134183,2.0
1723,O,-5757.624042802622,-2275.690757686356,-51.72161677863625,-20.146556806458236,-141.09215570965353,2.0
1724,O,-5746.014107890987,-2271.4341011209012,-51.61732295884871,-20.110440765472454,-117.70925671369807,2.0
1725,O,-5703.718354531066,-2255.926822432375,-51.23737374188304,-19.978796406829524,-104.37633986770373,2.0
1526,K,-6161.7504393881545,-2233.8168003500828,-55.35194596632555,-19.790907626632507,-120.0045867702936,2.0
1680,N,-5774.314876571642,-2232.467303529,-51.87155308943034,-19.779432445195212,-100.95724338123034,2.0
1726,O,-5636.986439694286,-2231.4602904856115,-50.63791075151861,-19.77086896243629,-105.33682279136076,2.0
1527,K,-6139.833421540302,-2225.765650936586,-55.1550620451751,-19.72243387560093,-111.56162594855113,2.0
1681,N,-5730.302506603052,-2216.222394441881,-51.47618324309926,-19.641231533626623,-101.90696367147166,2.0
1528,K,-6093.756688300349,-2208.8395040321134,-54.74114770805762,-19.578382933469847,-111.56162594855113,2.0
1727,O,-5572.3303482745,-2207.75483665375,-50.057095200180385,-19.569147353242418,-104.01219063218332,2.0
1572,L,-5946.813561573497,-2204.307812036101,-53.42113514170719,-19.53979353647721,-114.97046366261563,2.0
1728,O,-5546.987133607432,-2198.4630221928264,-49.8294332293389,-19.4900087367447,-118.74338576252163,2.0
1573,L,-5925.814296840633,-2196.5881230660766,-53.232495537059144,-19.474035420768402,-96.31164096658051,2.0
1682,N,-5676.516775154908,-2196.3701502163854,-50.99301779682511,-19.47217828452959,-103.41585694404671,2.0
1574,L,-5907.428450326742,-2189.829171343557,-53.067332667710104,-19.416438905193488,-80.0492052514171,2.0
1529,K,-6040.000500008684,-2189.0923328229305,-54.25824765247352,-19.410158674162393,-112.92516083720221,2.0
1626,M,-5761.382767567063,-2180.642799447495,-51.75538197768321,-19.338123979398212,-99.44871898584529,2.0
1575,L,-5879.508086569158,-2179.565167966278,-52.81651977269397,-19.32893454638051,-61.01878243001818,2.0
1530,K,-6001.603222238969,-2174.9872103769126,-53.91331903758233,-19.28989047847919,-114.9704636160495,2.0
1481,J,-6139.490262102746,-2174.3556620743493,-55.15197939149863,-19.284503446610284,-124.92928196182979,2.0
1683,N,-5616.3585248112395,-2174.165817471512,-50.452607039329045,-19.282884059679255,-104.97405533513762,2.0
1482,J,-6121.272614397087,-2167.64487552155,-54.988327477751646,-19.227250166693466,-112.10348913045044,2.0
1576,L,-5845.858518208666,-2167.1950109620648,-52.51424055707143,-19.22341141052507,-59.54037902740026,2.0
1627,M,-5716.150061841075,-2164.0316452033685,-51.34904966872585,-19.196415413374382,-101.91819642550212,2.0
1531,K,-5967.685627105909,-2162.527685634156,-53.60863209649628,-19.183579129055875,-114.9704636160495,2.0
1684,N,-5566.2926711304135,-2155.6865753403918,-50.00285782358927,-19.125177530992012,-107.32963553474531,2.0
1577,L,-5808.251305696596,-2153.3699562605802,-52.17640921914419,-19.10539614006264,-62.718044479171795,2.0
1532,K,-5942.727396827636,-2153.359356144178,-53.38442849926082,-19.10530562116824,-113.60692872739841,2.0
1628,M,-5671.357034385837,-2147.5819573905783,-50.946667056875604,-19.055962506579263,-102.91969249437801,2.0
1685,N,-5543.987523183169,-2147.453773952139,-49.8024872704337,-19.054867559788548,-123.5624119156314,2.0
1483,J,-6065.417815186784,-2147.0697913226527,-54.48657527953122,-19.051587524836567,-114.63298927121718,2.0
1578,L,-5786.74333411332,-2145.4632579494173,-51.98319982310754,-19.037863573745213,-81.19808508405788,2.0
1533,K,-5915.849302263277,-2143.485770385842,-53.142978467709085,-19.02096913805982,-89.06329493536032,2.0
1579,L,-5765.28829602213,-2137.5760188955273,-51.790465936720715,-18.97046950798714,-98.46803529837888,2.0
1629,M,-5637.542203817995,-2135.1638772141646,-50.64290326558555,-18.949852976320933,-103.04608546734829,2.0
